Index,Sentence,Caring,Boredom,Disappointment,Nervousness,Annoyance,Contempt,Sarcasm,Fear,Approval,Desire,Curiosity,Disgust,Pride,Confusion,Gratitude,Love,Amusement,Grief,Joy,Admiration,Embarrassment,Neutral,Anger,Disapproval,Relief,Surprise,Remorse,Realization,Excitement,Envy,Optimism,Sadness,text,id,clean_text,label,avg_sent_len,lexical_div,num_sents,flesch,fk_grade,polarity,subjectivity
1,"The grandfather clock blared across the hall. Bertha turned to the other side of the plush bed. It had been days since she bought the house, though it wasn't from her money. They had a deal, a deal she could not resist. Shifting the blankets over her head, she sighed—another mistake. A few months ago...",0.0,0.0207999999999999,0.125,0.0832999999999999,0.1042,0.0,0.0,0.0625,0.0,0.0625,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0832999999999999,0.0,0.0,0.0,0.0417,0.1458,0.0,0.0207999999999999,0.0,0.0,0.1666999999999999,"The grandfather clock blared across the hall. Bertha turned to the other side of the plush bed. It had been days since she bought the house, though it wasn't from her money. They had a deal, a deal she could not resist. Shifting the blankets over her head, she sighed—another mistake. A few months ago...",1,"the grandfather clock blared across the hall. bertha turned to the other side of the plush bed. it had been days since she bought the house, though it wasn't from her money. they had a deal, a deal she could not resist. shifting the blankets over her head, she sighed—another mistake. a few months ago...",Sadness,10.833333333333334,0.7076923076923077,6.0,89.85810606060608,3.003181818181819,-0.1625,0.2375
2,"She was face to face with the Bargainer. Still in the black mourning clothes she used to mourn her dead husband, still wearing the single tear that graced her cheek, so singular, so perfect like a drop of blood. They were seated in their mansion—her mansion now. Minimalistic, very unlike her. It was her late husband who preferred it.",0.0,0.0,0.0976,0.0244,0.0,0.0,0.0,0.0244,0.0488,0.0488,0.0488,0.0,0.0,0.0,0.0,0.1219999999999999,0.0,0.195,0.0,0.0,0.0,0.1463,0.0,0.0,0.0,0.0,0.0732,0.0,0.0,0.0,0.0,0.1706999999999999,"She was face to face with the Bargainer. Still in the black mourning clothes she used to mourn her dead husband, still wearing the single tear that graced her cheek, so singular, so perfect like a drop of blood. They were seated in their mansion—her mansion now. Minimalistic, very unlike her. It was her late husband who preferred it.",2,"she was face to face with the bargainer. still in the black mourning clothes she used to mourn her dead husband, still wearing the single tear that graced her cheek, so singular, so perfect like a drop of blood. they were seated in their mansion—her mansion now. minimalistic, very unlike her. it was her late husband who preferred it.",Grief,13.6,0.6911764705882353,5.0,80.14613559322035,5.0120000000000005,0.07698412698412697,0.49126984126984125
3,"""Bertha..."" He called her so sweetly, even on his deathbed. There she was, making a deal with the Bargainer. It was all worth it. She thought, the castle is in the memory of her husband.",0.0391999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.1175999999999999,0.0,0.0,0.0195999999999999,0.0,0.0783999999999999,0.1764999999999999,0.0,0.1569,0.0,0.0195999999999999,0.0,0.0587999999999999,0.0,0.0,0.0,0.0,0.0195999999999999,0.0,0.0195999999999999,0.0001,0.0587999999999999,0.1373,"""Bertha..."" He called her so sweetly, even on his deathbed. There she was, making a deal with the Bargainer. It was all worth it. She thought, the castle is in the memory of her husband.",3,"""bertha..."" he called her so sweetly, even on his deathbed. there she was, making a deal with the bargainer. it was all worth it. she thought, the castle is in the memory of her husband.",Love,11.25,0.7555555555555555,4.0,86.76517857142859,3.3310714285714305,0.32499999999999996,0.375
4,"Tick. Tick. Tick. Getting up from the bed, her black eyes drifted over to the grand window. The sky was still dark; it was still midnight.",0.0,0.0323,0.0,0.2580999999999999,0.129,0.0,0.0,0.2258,0.0,0.0,0.0645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935,0.0,0.0,0.0,0.0323,0.0,0.0,0.0,0.0,0.0,0.0645,"Tick. Tick. Tick. Getting up from the bed, her black eyes drifted over to the grand window. The sky was still dark; it was still midnight.",4,"tick. tick. tick. getting up from the bed, her black eyes drifted over to the grand window. the sky was still dark; it was still midnight.",Nervousness,6.6,0.696969696969697,5.0,92.77076923076925,3.549230769230771,0.06111111111111112,0.6111111111111112
5,"Slipping on her slippers, she strolled to the balcony, opening the doors, letting the cool breeze grace her skin. 'The moon seems lovely tonight,' she thought. There were still some lights on in the castle. Of course there was—there were maintainers and workers who worked to keep the castle clean.",0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0313,0.0313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1562999999999999,0.0,0.2497999999999999,0.0,0.0,0.0937999999999999,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,"Slipping on her slippers, she strolled to the balcony, opening the doors, letting the cool breeze grace her skin. 'The moon seems lovely tonight,' she thought. There were still some lights on in the castle. Of course there was—there were maintainers and workers who worked to keep the castle clean.",5,"slipping on her slippers, she strolled to the balcony, opening the doors, letting the cool breeze grace her skin. 'the moon seems lovely tonight,' she thought. there were still some lights on in the castle. of course there was—there were maintainers and workers who worked to keep the castle clean.",Neutral,14.75,0.711864406779661,4.0,85.85950000000001,4.388999999999999,0.2791666666666667,0.55
6,"The rose garden was well manicured, looking exceptionally beautiful under the moonlight. Oh how she wished to visit them at this hour. Not because she was restricted—for this was already her property—but because she was too lazy to take the stairs, those things were torture. She sighed and went inside. On one of the many luxurious drawers in the chiffonier, she drew one out and picked a cigar, lighting it.",0.0,0.0488,0.0,0.0,0.195,0.0,0.0488,0.0,0.0732,0.1463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732,0.1706999999999999,0.0,0.1219999999999999,0.0,0.0,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.0976,"The rose garden was well manicured, looking exceptionally beautiful under the moonlight. Oh how she wished to visit them at this hour. Not because she was restricted—for this was already her property—but because she was too lazy to take the stairs, those things were torture. She sighed and went inside. On one of the many luxurious drawers in the chiffonier, she drew one out and picked a cigar, lighting it.",6,"the rose garden was well manicured, looking exceptionally beautiful under the moonlight. oh how she wished to visit them at this hour. not because she was restricted—for this was already her property—but because she was too lazy to take the stairs, those things were torture. she sighed and went inside. on one of the many luxurious drawers in the chiffonier, she drew one out and picked a cigar, lighting it.",Annoyance,15.8,0.7088607594936709,5.0,66.93357142857143,7.401428571428575,0.425,0.8625
7,"It was nice being alone, but not too nice. She still missed her husband, though he was now six feet under the soil. He was the only one who saw her, but even at that he still struggled to find the depths under those dark eyes. She wasn't pretty; she wasn't docile and loving like her name. She was like a rose, with only thorns and sharp leaves for petals.",0.0217,0.0,0.1303999999999999,0.0,0.0434999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434999999999999,0.0,0.0,0.1522,0.0,0.1957,0.0,0.0,0.0,0.1087,0.0,0.0,0.0,0.0,0.0869999999999999,0.0,0.0,0.0,0.0,0.2172999999999999,"It was nice being alone, but not too nice. She still missed her husband, though he was now six feet under the soil. He was the only one who saw her, but even at that he still struggled to find the depths under those dark eyes. She wasn't pretty; she wasn't docile and loving like her name. She was like a rose, with only thorns and sharp leaves for petals.",7,"it was nice being alone, but not too nice. she still missed her husband, though he was now six feet under the soil. he was the only one who saw her, but even at that he still struggled to find the depths under those dark eyes. she wasn't pretty; she wasn't docile and loving like her name. she was like a rose, with only thorns and sharp leaves for petals.",Sadness,16.4,0.6463414634146342,5.0,89.89642857142859,4.19857142857143,0.2638888888888889,0.8944444444444445
8,"This was going to be a long night… The Montante castle stood in the midst of dense foliage. It was an old and little-known castle, built by a nobleman hundreds of years ago.",0.0,0.1817999999999999,0.0,0.0908999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0454999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5453999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363999999999999,"This was going to be a long night… The Montante castle stood in the midst of dense foliage. It was an old and little-known castle, built by a nobleman hundreds of years ago.",8,"this was going to be a long night… the montante castle stood in the midst of dense foliage. it was an old and little-known castle, built by a nobleman hundreds of years ago.",Neutral,18.0,0.8333333333333334,2.0,74.72386363636366,6.935909090909089,0.025,0.30000000000000004
9,"Who knew it? She had no interest in knowing—all she knew was that it was hers. The papers and everything were signed under her name, with her own signature. But she didn't plan on staying there forever, no, it was too much of a hassle to get from the stairs. She just wanted to stay low for the time being.",0.0,0.0526,0.0,0.0,0.1842,0.0788999999999999,0.0,0.0,0.1315999999999999,0.1053,0.0263,0.0,0.2104999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0526,"Who knew it? She had no interest in knowing—all she knew was that it was hers. The papers and everything were signed under her name, with her own signature. But she didn't plan on staying there forever, no, it was too much of a hassle to get from the stairs. She just wanted to stay low for the time being.",9,"who knew it? she had no interest in knowing—all she knew was that it was hers. the papers and everything were signed under her name, with her own signature. but she didn't plan on staying there forever, no, it was too much of a hassle to get from the stairs. she just wanted to stay low for the time being.",Pride,13.8,0.7391304347826086,5.0,90.315,3.6433333333333344,0.26666666666666666,0.5
10,"The bathroom was very modest, almost too modest considering the grandness of the Master's Bedroom. The tub was made of porcelain, smooth, fair, devoid of any extra designs—much to her displeasure. After taking her bath, she put on her clothes and walked downstairs to the dining hall. The clinking of tableware increased her hunger. She then sat at the head of the long table. Breakfast was served at the table just for her... Only her.",0.0,0.0645,0.0,0.0,0.1935,0.0,0.0,0.0,0.0,0.0967999999999999,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2580999999999999,0.0,0.2258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,"The bathroom was very modest, almost too modest considering the grandness of the Master's Bedroom. The tub was made of porcelain, smooth, fair, devoid of any extra designs—much to her displeasure. After taking her bath, she put on her clothes and walked downstairs to the dining hall. The clinking of tableware increased her hunger. She then sat at the head of the long table. Breakfast was served at the table just for her... Only her.",10,"the bathroom was very modest, almost too modest considering the grandness of the master's bedroom. the tub was made of porcelain, smooth, fair, devoid of any extra designs—much to her displeasure. after taking her bath, she put on her clothes and walked downstairs to the dining hall. the clinking of tableware increased her hunger. she then sat at the head of the long table. breakfast was served at the table just for her... only her.",Neutral,14.666666666666666,0.625,6.0,72.32350000000002,6.277000000000001,0.1475,0.625
11,"It was more of a feast—the more she looked, the more she was in disbelief. The whole extensive wooden dining table was filled to the brim with food. It seemed that this was what they had been working on, even through the night.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.08,0.1199999999999999,0.0,0.2399999999999999,0.0,0.0,0.0,0.32,0.0,0.0,0.04,0.0,0.0,0.0,"It was more of a feast—the more she looked, the more she was in disbelief. The whole extensive wooden dining table was filled to the brim with food. It seemed that this was what they had been working on, even through the night.",11,"it was more of a feast—the more she looked, the more she was in disbelief. the whole extensive wooden dining table was filled to the brim with food. it seemed that this was what they had been working on, even through the night.",Surprise,16.0,0.7291666666666666,3.0,88.01224806201553,4.54418604651163,0.3,0.44761904761904764
12,"Digging her fork into the tender mutton, she took a bite and asked: ""Surely I can't finish all this, why did you cook so much?"" Her black eyes drifted to the person beside her, clad in pristine white chef's robes, looking like she was eating his masterpiece.",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1713999999999999,0.0,0.0,0.2285999999999999,0.0,0.0,0.0,0.0,0.0,0.0570999999999999,0.0,0.1428999999999999,0.0,0.0856999999999999,0.0,0.1142999999999999,0.0,0.0,0.0,0.0,0.0,0.0,"Digging her fork into the tender mutton, she took a bite and asked: ""Surely I can't finish all this, why did you cook so much?"" Her black eyes drifted to the person beside her, clad in pristine white chef's robes, looking like she was eating his masterpiece.",12,"digging her fork into the tender mutton, she took a bite and asked: ""surely i can't finish all this, why did you cook so much?"" her black eyes drifted to the person beside her, clad in pristine white chef's robes, looking like she was eating his masterpiece.",Confusion,29.0,0.8793103448275862,2.0,73.18250000000002,8.88989361702128,0.13333333333333333,0.38055555555555554
13,"""Madam, it has always been a custom of the Montante—the first meal is served to the Master, the rest of it is then distributed to the workers of the castle."" He said it with a slight smile, his eyes still staring at the tender mutton she had eaten half of.",0.0476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1905,0.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.1428999999999999,0.0,0.0,0.0952,0.0,0.4762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Madam, it has always been a custom of the Montante—the first meal is served to the Master, the rest of it is then distributed to the workers of the castle."" He said it with a slight smile, his eyes still staring at the tender mutton she had eaten half of.",13,"""madam, it has always been a custom of the montante—the first meal is served to the master, the rest of it is then distributed to the workers of the castle."" he said it with a slight smile, his eyes still staring at the tender mutton she had eaten half of.",Neutral,28.5,0.7192982456140351,2.0,71.48000000000002,9.500000000000004,0.05416666666666666,0.19166666666666665
14,"""The last owners of this castle, who were they?"" she muttered. Chef Guijan replied, his voice low but clear. ""The last master was the Trueblood descendant of the noble Montante, Master Lucas. The estate was sold years ago in exchange for more properties.""",0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.32,0.0,0.0,0.1199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,"""The last owners of this castle, who were they?"" she muttered. Chef Guijan replied, his voice low but clear. ""The last master was the Trueblood descendant of the noble Montante, Master Lucas. The estate was sold years ago in exchange for more properties.""",14,"""the last owners of this castle, who were they?"" she muttered. chef guijan replied, his voice low but clear. ""the last master was the trueblood descendant of the noble montante, master lucas. the estate was sold years ago in exchange for more properties.""",Curiosity,11.0,0.7272727272727273,5.0,73.94235465116282,5.616453488372091,0.19999999999999998,0.36944444444444446
15,"Chef Guijan was a stout old man, easy to temper as he was easy to flatter. His robes were pristine and his placements were even more precise. He came along with the castle.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1817999999999999,0.0,0.0908999999999999,0.0,0.0,0.0,0.0,0.0,0.0454999999999999,0.0,0.0,0.1363999999999999,0.0,0.5453999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Chef Guijan was a stout old man, easy to temper as he was easy to flatter. His robes were pristine and his placements were even more precise. He came along with the castle.",15,"chef guijan was a stout old man, easy to temper as he was easy to flatter. his robes were pristine and his placements were even more precise. he came along with the castle.",Neutral,12.333333333333334,0.7837837837837838,3.0,82.87000000000003,4.433333333333334,0.37333333333333335,0.6333333333333334
16,"""Seems reasonable."" She nodded and dismissed him, then ate for a little while and left the dining hall, but not without passing the chef who stood at the door the whole time.",0.0,0.125,0.0,0.0,0.1666999999999999,0.0,0.0,0.0,0.3332999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2917,0.0,0.0,0.0832999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Seems reasonable."" She nodded and dismissed him, then ate for a little while and left the dining hall, but not without passing the chef who stood at the door the whole time.",16,"""seems reasonable."" she nodded and dismissed him, then ate for a little while and left the dining hall, but not without passing the chef who stood at the door the whole time.",Approval,19.0,0.8421052631578947,2.0,65.96125000000002,12.008750000000003,0.053125000000000006,0.375
17,"""Enjoy."" It was a very long distance from the Montante Castle to any form of civilization. It was frustrating in many ways. The Bargainer was here. With the same mask on his face, smooth and lifelike, devoid of any color except the color he always wore, and she always liked—black. Not a sliver of his skin was exposed.",0.0,0.0,0.0,0.125,0.2497999999999999,0.0,0.0,0.1562999999999999,0.0313,0.0,0.0625,0.0313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1875,0.0,0.0937999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Enjoy."" It was a very long distance from the Montante Castle to any form of civilization. It was frustrating in many ways. The Bargainer was here. With the same mask on his face, smooth and lifelike, devoid of any color except the color he always wore, and she always liked—black. Not a sliver of his skin was exposed.",17,"""enjoy."" it was a very long distance from the montante castle to any form of civilization. it was frustrating in many ways. the bargainer was here. with the same mask on his face, smooth and lifelike, devoid of any color except the color he always wore, and she always liked—black. not a sliver of his skin was exposed.",Annoyance,11.5,0.6811594202898551,6.0,71.07824137931037,6.227103448275862,0.129375,0.480625
18,"Standing hunched because of his very large height, he looked like something from children's nightmares and something found in the Grimm brothers' folktales. His voice was very low, almost akin to the sound of vibrating air.",0.0,0.0,0.0,0.1950999999999999,0.0,0.0,0.0,0.2437999999999999,0.0,0.0,0.0,0.2195,0.0,0.0732,0.0,0.0,0.0,0.0,0.0,0.0488,0.0,0.1219999999999999,0.0,0.0,0.0,0.0976,0.0,0.0,0.0,0.0,0.0,0.0,"Standing hunched because of his very large height, he looked like something from children's nightmares and something found in the Grimm brothers' folktales. His voice was very low, almost akin to the sound of vibrating air.",18,"standing hunched because of his very large height, he looked like something from children's nightmares and something found in the grimm brothers' folktales. his voice was very low, almost akin to the sound of vibrating air.",Fear,21.0,0.8333333333333334,2.0,71.06500000000001,7.818888888888889,0.2261904761904762,0.4490476190476191
19,"""I see you've made yourself comfortable,"" he murmured through the mask. Bertha nodded, feeling slightly pleased. The castle was bigger than she had ever expected, but the thing was—what was the catch? She paid no money, nor property to gain such a fortune. She was skeptical as the masked one came to her in her home with a deal with an open condition. It seemed to be something of dreams... or nightmares.",0.0,0.0,0.0732,0.195,0.0,0.0,0.0,0.1463,0.0732,0.0488,0.1706999999999999,0.0,0.0,0.0488,0.0,0.0,0.0,0.0,0.0244,0.0,0.0,0.0976,0.0,0.0,0.0,0.1219999999999999,0.0,0.0,0.0,0.0,0.0,0.0,"""I see you've made yourself comfortable,"" he murmured through the mask. Bertha nodded, feeling slightly pleased. The castle was bigger than she had ever expected, but the thing was—what was the catch? She paid no money, nor property to gain such a fortune. She was skeptical as the masked one came to her in her home with a deal with an open condition. It seemed to be something of dreams... or nightmares.",19,"""i see you've made yourself comfortable,"" he murmured through the mask. bertha nodded, feeling slightly pleased. the castle was bigger than she had ever expected, but the thing was—what was the catch? she paid no money, nor property to gain such a fortune. she was skeptical as the masked one came to her in her home with a deal with an open condition. it seemed to be something of dreams... or nightmares.",Nervousness,14.333333333333334,0.7674418604651163,6.0,80.68,4.9872222222222256,0.042857142857142864,0.5999999999999999
20,"Now it was 3:35 pm in the office of her boutique. She had just sorted some files before she heard he had arrived, and she welcomed him as quickly as she heard. Now they were seated in the cool office, the AC blasting cold air into the room despite the already cold weather.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,"Now it was 3:35 pm in the office of her boutique. She had just sorted some files before she heard he had arrived, and she welcomed him as quickly as she heard. Now they were seated in the cool office, the AC blasting cold air into the room despite the already cold weather.",20,"now it was 3:35 pm in the office of her boutique. she had just sorted some files before she heard he had arrived, and she welcomed him as quickly as she heard. now they were seated in the cool office, the ac blasting cold air into the room despite the already cold weather.",Neutral,19.333333333333332,0.7068965517241379,3.0,77.16748427672958,6.88490566037736,-0.12916666666666665,0.7875
